location_state,completion_year,total,participants
Alabama,1991,1,2416
Alabama,1993,2,156
Alabama,1994,3,1986
Alabama,1995,4,2490
Alabama,1996,6,3747
Alabama,1997,9,3762
Alabama,1998,15,2209
Alabama,1999,14,3751
Alabama,2000,11,2343
Alabama,2001,36,14085
Alabama,2002,36,12736
Alabama,2003,100,25318
Alabama,2004,145,109396
Alabama,2005,192,113729
Alabama,2006,286,185727
Alabama,2007,381,193824
Alabama,2008,369,772575
Alabama,2009,407,322646
Alabama,2010,417,312668
Alabama,2011,428,535072
Alabama,2012,455,332291
Alabama,2013,461,472903
Alabama,2014,459,369291
Alabama,2015,434,412582
Alabama,2016,471,442444
Alabama,2017,464,371063
Alabama,2018,486,376192
Alabama,2019,525,375389
Alabama,2020,643,1186774
Alabama,2021,411,546199
Alabama,2022,251,236092
Alabama,2023,168,159451
Alabama,2024,107,156815
Alabama,2025,50,55638
Alabama,2026,29,47935
Alabama,2027,21,38600
Alabama,2028,16,41598
Alabama,2029,3,6579
Alabama,2030,13,454471
Alabama,2031,7,11379
Alabama,2032,3,2891
Alabama,2034,5,33900
Alabama,2035,1,359
Alabama,2038,1,4970
Alabama,2040,1,20000
Alabama,2062,1,20000
Alaska,1997,1,113
Alaska,2001,1,248
Alaska,2003,7,3890
Alaska,2004,4,299
Alaska,2005,5,1424
Alaska,2006,2,462
Alaska,2007,4,920
Alaska,2008,9,2976
Alaska,2009,4,704
Alaska,2010,10,6002
Alaska,2011,18,84711
Alaska,2012,14,6297
Alaska,2013,10,3023
Alaska,2014,5,2202
Alaska,2015,7,3118
Alaska,2016,9,6550
Alaska,2017,14,5298
Alaska,2018,12,10747
Alaska,2019,16,6368
Alaska,2020,29,22207
Alaska,2021,21,18005
Alaska,2022,19,10389
Alaska,2023,17,12012
Alaska,2024,12,6861
Alaska,2025,6,1317
Alaska,2026,3,1041
Alaska,2027,5,3172
Alaska,2028,2,639
Alaska,2035,1,880
Arizona,1992,1,300
Arizona,1994,2,0
Arizona,1997,1,217
Arizona,1998,2,316
Arizona,1999,3,437
Arizona,2000,1,5
Arizona,2001,9,879
Arizona,2002,21,2247
Arizona,2003,57,12891
Arizona,2004,61,15318
Arizona,2005,72,19655
Arizona,2006,150,44492
Arizona,2007,188,57249
Arizona,2008,260,96456
Arizona,2009,267,87283
Arizona,2010,283,72344
Arizona,2011,273,87050
Arizona,2012,295,86515
Arizona,2013,323,96214
Arizona,2014,349,100602
Arizona,2015,360,212471
Arizona,2016,423,167672
Arizona,2017,375,768009
Arizona,2018,444,121153
Arizona,2019,502,177574
Arizona,2020,600,387767
Arizona,2021,413,210434
Arizona,2022,219,114383
Arizona,2023,125,62228
Arizona,2024,83,73298
Arizona,2025,56,5233138
Arizona,2026,24,29620
Arizona,2027,16,19020
Arizona,2028,10,54903
Arizona,2029,4,2631
Arizona,2030,6,1007394
Arizona,2031,1,1273
Arizona,2032,1,1278
Arizona,2033,3,3464
Arizona,2034,2,395
Arizona,2035,5,1709
Arizona,2036,2,50040
Arizona,2039,1,225
Arizona,2050,1,87
Arizona,2053,1,5000
Arkansas,1994,1,115
Arkansas,2000,5,2718
Arkansas,2001,5,63658
Arkansas,2002,8,883
Arkansas,2003,12,1511
Arkansas,2004,27,6778
Arkansas,2005,46,11408
Arkansas,2006,44,19290
Arkansas,2007,69,16154
Arkansas,2008,89,30146
Arkansas,2009,91,26048
Arkansas,2010,90,19917
Arkansas,2011,72,24125
Arkansas,2012,97,21310
Arkansas,2013,92,37695
Arkansas,2014,87,34305
Arkansas,2015,95,33204
Arkansas,2016,95,34819
Arkansas,2017,102,36129
Arkansas,2018,88,24747
Arkansas,2019,141,29909
Arkansas,2020,150,52789
Arkansas,2021,72,23094
Arkansas,2022,35,15066
Arkansas,2023,25,31056
Arkansas,2024,15,9612
Arkansas,2025,10,3419
Arkansas,2026,1,1173
Arkansas,2027,2,2341
Arkansas,2028,1,208
Arkansas,2029,2,1026
Arkansas,2031,1,514
Arkansas,2032,1,4000
Arkansas,2033,1,14000
Arkansas,2034,1,1500
Arkansas,2040,1,1100
California,1989,3,566
California,1990,12,2026
California,1991,7,1177
California,1992,17,3260
California,1993,14,4048
California,1994,12,3060
California,1995,15,8791
California,1996,24,7219
California,1997,11,6642
California,1998,25,3185
California,1999,22,19159
California,2000,48,8306
California,2001,50,17538
California,2002,71,14396
California,2003,120,17333
California,2004,180,65712
California,2005,322,111194
California,2006,406,101417
California,2007,508,288399
California,2008,709,160666
California,2009,885,306222
California,2010,843,239377
California,2011,961,264893
California,2012,1022,646383
California,2013,1024,315635
California,2014,1100,403039
California,2015,1113,420031
California,2016,1213,581758
California,2017,1273,1383425
California,2018,1349,1744438
California,2019,1704,25988018
California,2020,1907,2374844
California,2021,1106,3042275
California,2022,672,2659458
California,2023,383,259964
California,2024,225,170136
California,2025,145,2240562
California,2026,63,97029
California,2027,40,115040
California,2028,33,123309
California,2029,16,23043
California,2030,19,121034
California,2031,11,113689
California,2032,5,704
California,2033,6,311
California,2034,10,920
California,2035,12,20740
California,2036,6,1334
California,2037,2,12500
California,2038,2,15
California,2039,1,50000
California,2040,5,30459
California,2050,5,208265
California,2051,2,11050
California,2069,1,9999
California,2099,6,17299
California,2100,3,20000300
Colorado,1994,2,4779
Colorado,1996,1,557
Colorado,1997,4,90
Colorado,1999,6,50
Colorado,2000,3,121
Colorado,2001,7,218
Colorado,2002,2,0
Colorado,2003,13,1861
Colorado,2004,13,1726
Colorado,2005,31,4902
Colorado,2006,44,7173
Colorado,2007,41,10397
Colorado,2008,65,27070
Colorado,2009,88,137384
Colorado,2010,73,22623
Colorado,2011,97,26333
Colorado,2012,122,48925
Colorado,2013,102,42870
Colorado,2014,125,76576
Colorado,2015,130,296714
Colorado,2016,171,135562
Colorado,2017,178,2126860
Colorado,2018,155,33270
Colorado,2019,277,92721
Colorado,2020,268,212941
Colorado,2021,184,70345
Colorado,2022,104,85419
Colorado,2023,42,20208
Colorado,2024,33,13207
Colorado,2025,21,69031
Colorado,2026,12,4118
Colorado,2027,7,4946
Colorado,2028,2,868
Colorado,2029,2,750
Colorado,2030,2,1100
Colorado,2031,1,23
Colorado,2036,1,1500
Colorado,2037,1,10000
Colorado,2050,1,250
Colorado,2064,1,1250
Colorado,2099,1,999999
Connecticut,1992,1,864
Connecticut,1994,2,10
Connecticut,1998,8,52
Connecticut,1999,10,492
Connecticut,2000,6,674
Connecticut,2001,4,185
Connecticut,2002,11,916
Connecticut,2003,11,1863
Connecticut,2004,18,2605
Connecticut,2005,24,2440
Connecticut,2006,40,8628
Connecticut,2007,45,5566
Connecticut,2008,103,13292
Connecticut,2009,115,10294
Connecticut,2010,96,15697
Connecticut,2011,107,11253
Connecticut,2012,123,14915
Connecticut,2013,126,12969
Connecticut,2014,129,28167
Connecticut,2015,129,9748
Connecticut,2016,158,18652
Connecticut,2017,111,9724
Connecticut,2018,156,16946
Connecticut,2019,189,52005
Connecticut,2020,252,97197
Connecticut,2021,89,199732
Connecticut,2022,71,25556
Connecticut,2023,37,18103
Connecticut,2024,26,73304
Connecticut,2025,12,10660
Connecticut,2026,4,323
Connecticut,2027,2,358
Connecticut,2028,4,1875
Connecticut,2030,1,110
Connecticut,2031,1,535
Connecticut,2032,1,50
Delaware,2003,1,22
Delaware,2004,3,83
Delaware,2005,1,43
Delaware,2006,5,418
Delaware,2007,12,1654
Delaware,2008,17,823
Delaware,2009,11,1301209
Delaware,2010,8,6000952
Delaware,2011,12,2784
Delaware,2012,14,7227
Delaware,2013,12,3239
Delaware,2014,14,22587
Delaware,2015,17,13090
Delaware,2016,19,17406
Delaware,2017,20,16322
Delaware,2018,13,963
Delaware,2019,21,101241
Delaware,2020,26,277983
Delaware,2021,13,37230
Delaware,2022,11,8354
Delaware,2023,4,478
Delaware,2024,5,2206
Delaware,2025,5,135101
Delaware,2026,1,3750
Delaware,2028,1,504
District of Columbia,1990,1,12
District of Columbia,1994,1,8
District of Columbia,1996,1,0
District of Columbia,1998,1,20
District of Columbia,1999,1,19
District of Columbia,2000,3,484
District of Columbia,2001,4,149
District of Columbia,2003,4,2
District of Columbia,2004,13,2289
District of Columbia,2005,17,2185
District of Columbia,2006,21,8162
District of Columbia,2007,48,10408
District of Columbia,2008,38,6351
District of Columbia,2009,41,3989
District of Columbia,2010,60,6165
District of Columbia,2011,73,20427
District of Columbia,2012,39,10045
District of Columbia,2013,59,18189
District of Columbia,2014,53,316673
District of Columbia,2015,62,10161
District of Columbia,2016,56,20338
District of Columbia,2017,71,25046
District of Columbia,2018,72,11893
District of Columbia,2019,85,38758
District of Columbia,2020,119,45144
District of Columbia,2021,67,17669
District of Columbia,2022,32,30585
District of Columbia,2023,23,8321
District of Columbia,2024,12,2521
District of Columbia,2025,9,23182
District of Columbia,2026,5,8289
District of Columbia,2027,3,1130
District of Columbia,2030,6,87919
District of Columbia,2034,2,343
District of Columbia,2040,2,1600
District of Columbia,2042,1,1300
District of Columbia,2050,1,5000
Florida,1990,4,169
Florida,1993,2,98
Florida,1994,1,81
Florida,1996,1,36
Florida,1997,1,100
Florida,1999,2,134
Florida,2000,3,0
Florida,2001,14,794
Florida,2002,12,3208
Florida,2003,27,24424
Florida,2004,38,3992
Florida,2005,58,8201
Florida,2006,88,10172
Florida,2007,126,116453
Florida,2008,178,20978
Florida,2009,220,62911
Florida,2010,251,61458
Florida,2011,264,41879
Florida,2012,312,210543
Florida,2013,306,44679
Florida,2014,347,199727
Florida,2015,330,32008
Florida,2016,365,42153
Florida,2017,374,56146
Florida,2018,430,197425
Florida,2019,551,80862
Florida,2020,653,323278
Florida,2021,304,269346
Florida,2022,200,104608
Florida,2023,93,26833
Florida,2024,53,20719
Florida,2025,39,113186
Florida,2026,16,2249
Florida,2027,13,15384
Florida,2028,5,2113
Florida,2029,5,14394
Florida,2030,8,28080
Florida,2032,3,278
Florida,2033,1,233
Florida,2034,1,1700
Florida,2035,3,146
Florida,2036,1,361
Florida,2037,1,151
Florida,2040,2,5060
Florida,2050,1,70
Florida,2070,1,1000
Georgia,2000,2,152
Georgia,2001,1,150
Georgia,2002,2,130
Georgia,2003,9,1636
Georgia,2004,15,1571
Georgia,2005,32,17118
Georgia,2006,56,56335
Georgia,2007,79,10536
Georgia,2008,66,22270
Georgia,2009,94,23074
Georgia,2010,86,17517
Georgia,2011,93,29344
Georgia,2012,118,64310
Georgia,2013,127,39715
Georgia,2014,131,19672
Georgia,2015,130,20382
Georgia,2016,112,15155
Georgia,2017,135,27436
Georgia,2018,127,14710
Georgia,2019,175,326610
Georgia,2020,190,55640
Georgia,2021,136,61287
Georgia,2022,65,11696
Georgia,2023,37,9583
Georgia,2024,29,7784
Georgia,2025,10,23350
Georgia,2026,4,967
Georgia,2027,5,4715
Georgia,2028,4,10946
Georgia,2029,2,268
Georgia,2030,2,2551
Georgia,2031,1,36
Georgia,2033,1,36
Georgia,2034,1,10
Georgia,2037,1,200
Hawaii,2000,2,104
Hawaii,2002,1,0
Hawaii,2005,3,1542
Hawaii,2006,3,24
Hawaii,2007,5,198
Hawaii,2008,6,6571
Hawaii,2009,9,14544
Hawaii,2010,12,690
Hawaii,2011,15,1664
Hawaii,2012,18,3964
Hawaii,2013,14,1603
Hawaii,2014,11,1447
Hawaii,2015,6,386
Hawaii,2016,17,14721
Hawaii,2017,11,7527
Hawaii,2018,13,1137
Hawaii,2019,7,518
Hawaii,2020,7,2032
Hawaii,2021,3,988
Hawaii,2022,7,2420
Hawaii,2023,2,172
Hawaii,2024,1,400
Hawaii,2026,2,435
Idaho,2006,2,2500
Idaho,2007,2,333
Idaho,2008,2,457
Idaho,2009,2,109
Idaho,2010,4,197
Idaho,2011,4,640
Idaho,2012,3,302
Idaho,2013,1,42
Idaho,2014,2,431
Idaho,2015,2,110
Idaho,2016,5,70
Idaho,2017,4,406
Idaho,2018,5,107
Idaho,2019,8,1236
Idaho,2020,8,736
Idaho,2021,3,22050
Idaho,2022,3,762
Idaho,2023,2,175
Idaho,2025,1,60
Illinois,1990,1,26
Illinois,1991,1,112
Illinois,1992,1,25
Illinois,1995,3,32
Illinois,1996,6,110
Illinois,1997,3,53
Illinois,1998,7,731
Illinois,1999,4,34
Illinois,2000,8,454
Illinois,2001,11,309
Illinois,2002,31,583
Illinois,2003,30,10995
Illinois,2004,33,2006
Illinois,2005,45,11339
Illinois,2006,69,521987
Illinois,2007,85,36044
Illinois,2008,115,21021
Illinois,2009,137,51172
Illinois,2010,159,31580
Illinois,2011,168,15302
Illinois,2012,221,89055
Illinois,2013,186,28223
Illinois,2014,204,256273
Illinois,2015,188,35612
Illinois,2016,215,68018
Illinois,2017,247,69256
Illinois,2018,252,195105
Illinois,2019,323,78098
Illinois,2020,407,283608
Illinois,2021,216,548456
Illinois,2022,146,57184
Illinois,2023,55,30483
Illinois,2024,47,124707
Illinois,2025,39,715365
Illinois,2026,14,4809
Illinois,2027,6,36081
Illinois,2028,5,424
Illinois,2029,2,497
Illinois,2030,5,960
Illinois,2031,1,60
Illinois,2032,1,412
Illinois,2033,1,47
Illinois,2034,1,500
Illinois,2035,1,12
Illinois,2042,1,300
Illinois,2044,1,10000
Indiana,1993,1,44
Indiana,1998,1,112
Indiana,2000,2,67
Indiana,2001,8,2100
Indiana,2003,4,470
Indiana,2004,13,2767
Indiana,2005,25,15724
Indiana,2006,25,5104
Indiana,2007,48,16925
Indiana,2008,60,79731
Indiana,2009,54,5985
Indiana,2010,66,13899
Indiana,2011,68,12395
Indiana,2012,105,108547
Indiana,2013,64,5857
Indiana,2014,81,9633
Indiana,2015,79,8247
Indiana,2016,92,71267
Indiana,2017,75,23655
Indiana,2018,88,15464
Indiana,2019,116,36893
Indiana,2020,112,203330
Indiana,2021,72,74129
Indiana,2022,42,9718
Indiana,2023,24,11925
Indiana,2024,15,5992
Indiana,2025,10,2564
Indiana,2026,1,2000
Indiana,2028,5,4224
Indiana,2029,2,435
Indiana,2050,2,1150
Iowa,2001,1,0
Iowa,2003,1,444
Iowa,2004,3,680
Iowa,2005,6,1001
Iowa,2006,6,1219
Iowa,2007,16,2223
Iowa,2008,29,26873
Iowa,2009,26,2704
Iowa,2010,21,11793
Iowa,2011,33,5999
Iowa,2012,27,3255
Iowa,2013,33,6667
Iowa,2014,39,2389
Iowa,2015,28,8840
Iowa,2016,32,3120
Iowa,2017,40,3809
Iowa,2018,55,53566
Iowa,2019,46,7170
Iowa,2020,61,19899
Iowa,2021,48,8804
Iowa,2022,28,8633
Iowa,2023,22,5595
Iowa,2024,10,10927
Iowa,2025,5,752
Iowa,2026,3,686
Iowa,2028,1,240
Iowa,2029,2,49
Iowa,2030,2,35
Iowa,2032,1,18
Kansas,1998,1,480
Kansas,2001,1,50
Kansas,2002,2,1828
Kansas,2003,2,432
Kansas,2004,2,78
Kansas,2005,15,2001
Kansas,2006,11,566
Kansas,2007,25,3574
Kansas,2008,31,1869
Kansas,2009,36,5447
Kansas,2010,60,4169
Kansas,2011,73,10725
Kansas,2012,76,12919
Kansas,2013,51,3665
Kansas,2014,85,5358
Kansas,2015,75,8502
Kansas,2016,65,32948
Kansas,2017,54,3168
Kansas,2018,58,5955
Kansas,2019,75,8966
Kansas,2020,76,11162
Kansas,2021,33,4661
Kansas,2022,13,4750
Kansas,2023,9,2526
Kansas,2024,6,120744
Kansas,2025,7,910
Kansas,2026,2,3030
Kansas,2027,1,0
Kansas,2029,1,110
Kansas,2035,2,1003
Kentucky,2001,1,586
Kentucky,2002,2,300
Kentucky,2003,3,402
Kentucky,2004,2,0
Kentucky,2005,8,38161
Kentucky,2006,15,1198
Kentucky,2007,14,2840
Kentucky,2008,31,2939
Kentucky,2009,31,4414
Kentucky,2010,45,20934
Kentucky,2011,29,1842
Kentucky,2012,46,5161
Kentucky,2013,35,2760
Kentucky,2014,44,94884
Kentucky,2015,37,2801
Kentucky,2016,61,48361
Kentucky,2017,27,4359
Kentucky,2018,73,3411
Kentucky,2019,76,31880
Kentucky,2020,87,110449
Kentucky,2021,48,6304
Kentucky,2022,33,11949
Kentucky,2023,20,12235
Kentucky,2024,14,5922
Kentucky,2025,13,8752
Kentucky,2026,3,177
Kentucky,2027,4,375
Kentucky,2028,2,137
Kentucky,2029,3,343
Kentucky,2030,5,568
Kentucky,2031,1,20
Kentucky,2034,1,50
Louisiana,1990,1,45
Louisiana,1991,2,282
Louisiana,2000,2,36
Louisiana,2001,1,0
Louisiana,2002,3,205
Louisiana,2003,2,20
Louisiana,2004,4,1763
Louisiana,2005,11,1330
Louisiana,2006,14,2190
Louisiana,2007,13,1764
Louisiana,2008,16,3526
Louisiana,2009,26,4633
Louisiana,2010,20,1616
Louisiana,2011,25,1824
Louisiana,2012,19,2165
Louisiana,2013,36,31544
Louisiana,2014,34,9925
Louisiana,2015,34,3089
Louisiana,2016,36,2345
Louisiana,2017,44,2681
Louisiana,2018,39,64375
Louisiana,2019,46,9192
Louisiana,2020,52,27998
Louisiana,2021,30,17051
Louisiana,2022,11,7822
Louisiana,2023,9,16399
Louisiana,2024,5,825
Louisiana,2025,4,31166
Louisiana,2027,1,450
Louisiana,2028,1,19500
Maine,2005,4,2242
Maine,2006,2,464
Maine,2007,7,605
Maine,2008,4,179179
Maine,2009,7,617
Maine,2010,3,653
Maine,2012,7,1064
Maine,2013,4,875
Maine,2014,4,546
Maine,2015,3,280
Maine,2016,2,423
Maine,2017,6,472
Maine,2018,8,455
Maine,2019,8,4485
Maine,2020,6,2501
Maine,2021,9,887
Maine,2022,2,1048
Maine,2023,1,18000
Maine,2025,1,80
Maryland,1988,2,24
Maryland,1989,1,6
Maryland,1990,2,26
Maryland,1991,1,10
Maryland,1994,1,6
Maryland,1995,4,432
Maryland,1996,1,12
Maryland,1997,1,0
Maryland,1998,5,302
Maryland,1999,3,90
Maryland,2000,158,20790
Maryland,2001,141,125501
Maryland,2002,164,58957
Maryland,2003,124,10016389
Maryland,2004,150,23196
Maryland,2005,209,65089
Maryland,2006,198,257027
Maryland,2007,259,79132
Maryland,2008,250,97462
Maryland,2009,250,100020830
Maryland,2010,307,94219
Maryland,2011,316,56070
Maryland,2012,282,185350
Maryland,2013,311,85876
Maryland,2014,318,44721
Maryland,2015,339,384343
Maryland,2016,325,55048
Maryland,2017,376,65474
Maryland,2018,378,122421
Maryland,2019,394,95164
Maryland,2020,521,214559
Maryland,2021,284,3477427
Maryland,2022,190,620842
Maryland,2023,114,42405
Maryland,2024,78,121987
Maryland,2025,84,35119
Maryland,2026,36,2876619
Maryland,2027,25,35869
Maryland,2028,23,32303
Maryland,2029,27,22340
Maryland,2030,22,100033105
Maryland,2031,3,96
Maryland,2032,5,4339
Maryland,2033,1,306
Maryland,2034,3,1135
Maryland,2035,2,5110
Maryland,2036,3,2120
Maryland,2037,4,30729
Maryland,2038,3,3700
Maryland,2039,1,500
Maryland,2040,4,6010
Maryland,2041,1,1300
Maryland,2044,1,7500
Maryland,2048,1,2400
Maryland,2050,9,16765
Maryland,2063,1,1500
Maryland,2085,2,1620
Maryland,2099,1,300
Maryland,2100,2,11100
Massachusetts,1990,1,39
Massachusetts,1993,2,97
Massachusetts,1994,2,432
Massachusetts,1995,2,86
Massachusetts,1996,4,458
Massachusetts,1997,2,45
Massachusetts,1999,2,1670
Massachusetts,2000,8,753
Massachusetts,2001,12,22236
Massachusetts,2002,18,1122
Massachusetts,2003,34,4213
Massachusetts,2004,51,21929
Massachusetts,2005,90,44102
Massachusetts,2006,118,135686
Massachusetts,2007,168,41035
Massachusetts,2008,204,4747305
Massachusetts,2009,249,91502
Massachusetts,2010,251,43949
Massachusetts,2011,327,79960
Massachusetts,2012,332,48964
Massachusetts,2013,333,257393
Massachusetts,2014,367,1022587
Massachusetts,2015,361,359433
Massachusetts,2016,425,1877292
Massachusetts,2017,392,810709
Massachusetts,2018,369,315344
Massachusetts,2019,546,1021347
Massachusetts,2020,647,1318063
Massachusetts,2021,355,879220
Massachusetts,2022,212,440450
Massachusetts,2023,152,159799
Massachusetts,2024,128,40146
Massachusetts,2025,53,20527
Massachusetts,2026,13,17339
Massachusetts,2027,10,7736
Massachusetts,2028,6,4255
Massachusetts,2029,5,1723
Massachusetts,2030,13,1015497
Massachusetts,2031,2,30024
Massachusetts,2032,3,354
Massachusetts,2033,3,60152
Massachusetts,2034,2,422
Massachusetts,2035,1,2050
Massachusetts,2036,2,96000
Massachusetts,2037,1,10000
Massachusetts,2040,1,35
Massachusetts,2050,3,14045
Massachusetts,2099,1,500
Massachusetts,2100,6,4091
Michigan,1999,1,272
Michigan,2000,4,670
Michigan,2001,4,40
Michigan,2002,7,400
Michigan,2003,11,900
Michigan,2004,19,2116
Michigan,2005,31,4733
Michigan,2006,47,6935
Michigan,2007,62,8800
Michigan,2008,72,8968
Michigan,2009,81,13924
Michigan,2010,111,44617
Michigan,2011,103,16330
Michigan,2012,135,28846
Michigan,2013,130,15938
Michigan,2014,130,68498
Michigan,2015,173,25178
Michigan,2016,152,33407
Michigan,2017,159,19337
Michigan,2018,144,992190
Michigan,2019,188,393785
Michigan,2020,230,29719
Michigan,2021,129,34423
Michigan,2022,77,10633
Michigan,2023,44,107468
Michigan,2024,26,4637
Michigan,2025,20,11653
Michigan,2026,4,1772
Michigan,2027,4,7875
Michigan,2028,1,300
Michigan,2029,1,35
Michigan,2030,4,12540
Michigan,2032,1,120
Michigan,2049,1,5000
Michigan,2054,1,9999
Minnesota,1989,1,60
Minnesota,1991,1,12
Minnesota,1994,1,25
Minnesota,1995,1,105
Minnesota,1997,2,0
Minnesota,1998,2,144
Minnesota,1999,4,2893
Minnesota,2000,7,85
Minnesota,2001,19,6615
Minnesota,2002,12,5639
Minnesota,2003,16,13980
Minnesota,2004,22,41508
Minnesota,2005,49,29400
Minnesota,2006,59,7657
Minnesota,2007,102,9685
Minnesota,2008,121,16032
Minnesota,2009,118,26697
Minnesota,2010,154,22161
Minnesota,2011,149,40877
Minnesota,2012,151,33469
Minnesota,2013,173,46867
Minnesota,2014,146,20830
Minnesota,2015,168,19605
Minnesota,2016,171,62354
Minnesota,2017,173,1302600
Minnesota,2018,194,43415
Minnesota,2019,283,52849
Minnesota,2020,343,238207
Minnesota,2021,196,40485
Minnesota,2022,113,138604
Minnesota,2023,54,41630
Minnesota,2024,27,7384
Minnesota,2025,38,100019718
Minnesota,2026,12,2526
Minnesota,2027,3,830
Minnesota,2028,4,1264
